..###..... | ..........  -  ........#. | ..........
######...# | ..........  -  ..#....... | ..........
.....#.... | ..........  -  #.#..#.... | ..........

..###..... | ......M...  -  ........#. | ..........
........#. | ...C......  -  .##*##..#. | ..........
........#. | ..........  -  ........#. | ..........
####....#. | ..........  -  ........#. | ..........
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | ..........  -  .......... | M.........
........## | .M........  -  ..#..##### | ..........
........#* | ..C.......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ..........  -  #.#..#.... | ..........

..###..... | ......M...  -  ........#. | ..........
........#. | ...C......  -  .##*##..#. | ..........
........#. | ..........  -  ........#. | ..........
####....#. | ..........  -  ........#. | ..........
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | ..........  -  .......... | M.........
........## | .M........  -  ..#..##### | ..........
........#* | ..CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ..........  -  #.#..#.... | ..........

..###..... | ......M...  -  ........#. | ..........
........#. | ...C......  -  .##*##..#. | ..........
........#. | ..........  -  ........#. | ..........
####....#. | ..........  -  ........#. | ..........
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | ..........  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | ..CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ..........  -  #.#..#.... | ..........

..###..... | ......M...  -  ........#. | ..........
........#. | ...C......  -  .##*##..#. | ..........
........#. | ..........  -  ........#. | ..........
####....#. | ..........  -  ........#. | ..........
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | ..........  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ..........  -  #.#..#.... | ..........

..###..... | ......M...  -  ........#. | ..........
........#. | ...C......  -  .##*##..#. | ..........
........#. | ..........  -  ........#. | ..........
####....#. | ..........  -  ........#. | ..........
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | ..........  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ..........  -  #.#..#.... | ..M.......

..###..... | ......M...  -  ........#. | ..........
........#. | ...C......  -  .##*##..#. | ..........
........#. | ..........  -  ........#. | ..........
####....#. | ..........  -  ........#. | ..........
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | ..........  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......M...  -  ........#. | ..........
........#. | ...C......  -  .##*##..#. | ..........
........#. | ..........  -  ........#. | ..........
####....*. | ..........  -  ........#. | ........C.
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | ..........  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......M...  -  ........#. | ..........
........#. | ...C......  -  .##*##..#. | ..........
........#. | ..........  -  ........#. | ..........
####....*. | .....M....  -  ........#. | ........C.
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | ..........  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......M...  -  ........#. | .....M....
........#. | ...C......  -  .##*##..#. | ..........
........#. | ..........  -  ........#. | ..........
####....*. | .....M....  -  ........#. | ........C.
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | ..........  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......M...  -  ........#. | .....M....
........#. | ...C......  -  .##*##..#. | ..........
........#. | ..........  -  ........#. | ..........
####....*. | .....M....  -  ........#. | ........C.
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......M...  -  ........#. | .....M....
........#. | ...C......  -  .##*##..#. | ..........
........#. | ..........  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C.....C.
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......M...  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | ..........
........#. | ..........  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C.....C.
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......M...  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .........M
........#. | ..........  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C.....C.
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......M...  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .........M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C.....C.
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......M...  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .........M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .........M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.#**#...#. | ..........  -  ....####.. | ..CC......
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .........M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.#**#...#. | ..........  -  ....####.. | ..CC...M..
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM......  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .........M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.#**#...#. | ..........  -  ....####.. | ..CC...M..
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM..M...  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.#**#...#. | ..........  -  ....####.. | ..CC...M..
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM..M...  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.#**#...#. | ........M.  -  ....####.. | ..CC...M..
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM..M...  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM..M...  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | ....M.....  -  #.#..#.... | ..M.......

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM..M...  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | ..M.......

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | .......M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM..M...  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | ..M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........#* | M.CM..M...  -  ..*....... | .........C
######...# | ..........  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | ..M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........** | M.CM..M...  -  ..*....... | ........CC
######...# | ..........  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | ..M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM........
........## | .M........  -  ..#..##### | ..........
........** | M.CM.MM...  -  ..*....... | ........CC
######...# | ..........  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | ..M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M........  -  ..#..##### | ..........
........** | M.CM.MM...  -  ..*....... | ........CC
######...# | ..........  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | ..M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
##*#....*. | .....M....  -  ........#. | ..C....MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M........  -  ..#..##### | ..........
........** | M.CM.MM...  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | ..M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
*#*#....*. | .....M....  -  ........#. | C.C....MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M........  -  ..#..##### | ..........
........** | M.CM.MM...  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | ..M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
*#*#....*. | .....M....  -  ........#. | C.C....MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM...  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | ..M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
*#**....*. | .....M....  -  ........#. | C.CC...MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM...  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | ..M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
*#**....*. | .....M....  -  ........#. | C.CC...MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | ..M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | .....M....  -  ........#. | ..........
*#**....*. | .....M....  -  ........#. | C.CC...MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | M.M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | ..M..M....  -  ........#. | ..........
*#**....*. | .....M....  -  ........#. | C.CC...MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ..........
.....#.... | C...M.....  -  *.#..#.... | M.M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | ..M..M....  -  ........#. | ..........
*#**....*. | .....M....  -  ........#. | C.CC...MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....#.... | C...M.....  -  *.#..#.... | M.M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .......M.M
........#. | ..M..M....  -  ........#. | ..........
*#**....*. | .....M....  -  ........#. | C.CC...MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....#.... | CM..M.....  -  *.#..#.... | M.M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | ......MM.M
........#. | ..M..M....  -  ........#. | ..........
*#**....*. | .....M....  -  ........#. | C.CC...MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....#.... | CM..M.....  -  *.#..#.... | M.M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | ......MM.M
........#. | ..M..M....  -  ........#. | ..........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....#.... | CM..M.....  -  *.#..#.... | M.M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | ......MM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | ........M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....#.... | CM..M.....  -  *.#..#.... | M.M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | ......MM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | ..M.....M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....#.... | CM..M.....  -  *.#..#.... | M.M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M....MM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | ..M.....M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....#.... | CM..M.....  -  *.#..#.... | M.M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M....MM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | ..MM....M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....#.... | CM..M.....  -  *.#..#.... | M.M.....M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M....MM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | ..MM....M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....*.... | CM..M.....  -  *.#..#.... | M.M..C..M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M....MM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | ..MM....M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....*.... | CM..M....M  -  *.#..#.... | M.M..C..M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M....MM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | ..MM....M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....*.... | CM..M....M  -  *.#..#.... | M.M..CM.M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M....MM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....*.... | CM..M....M  -  *.#..#.... | M.M..CM.M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....M.  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....*.... | CM..M....M  -  *.#..#.... | M.M..CM.M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MM.M......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....*.... | CM..M....M  -  *.#..#.... | M.M..CM.M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MMMM......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M....  -  ..#....... | ........M.
.....*.... | CM..M....M  -  *.#..#.... | M.M..CM.M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MMMM......
........## | .M.M......  -  ..#..##### | ..........
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M.M..  -  ..#....... | ........M.
.....*.... | CM..M....M  -  *.#..#.... | M.M..CM.M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MMMM......
........## | .M.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M.M..  -  ..#....... | ........M.
.....*.... | CM..M....M  -  *.#..#.... | M.M..CM.M.

..###..... | ......MM..  -  ........#. | .....M....
