.#........ | ..........  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.........
...####### | ..........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ..........

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.M.......
...####### | ..........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ..........

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.M.......
...####### | ..........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ..........

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.M.......
...####### | ..........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.M.......
...####### | M.........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.M.M.....
...####### | M.........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | M.........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.M.M.....
...####### | M.........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | M.........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.M.M.....
...####### | M.........  -  .####..... | ..........
........#. | ..........  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ......M...  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | M.........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.M.M.....
...####### | M.........  -  .####..... | ..........
........#. | ..........  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ......M...  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | M.........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ....M.....
.....####. | ......MM..  -  .#........ | M.M.M.....
...####### | M.........  -  .####..... | ..........
........#. | ..........  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ......M...  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | M.........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ....M.....
.....####. | ......MM..  -  .#........ | M.M.M.....
...####### | M.........  -  .####..... | ..........
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ......M...  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | M.........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ....M.....
.....####. | ......MM..  -  .#........ | M.M.M.....
...###*### | M.........  -  .####..... | ......C...
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ......M...  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | M.........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ....M.....
.....####. | ......MM..  -  .#........ | M.M.M.....
...###*### | M.....M...  -  .####..... | ......C...
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ......M...  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | M.........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ....M.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...###*### | M.....M...  -  .####..... | ......C...
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ..........
.#...#.... | ......M...  -  ..#....... | ..........
.#...#.... | ...M.M....  -  ..#....... | ..........
.....#.... | M.........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ....M.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...###*### | M.....M...  -  .####..... | ......C...
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ....M.....
.#...#.... | ......M...  -  ..#....... | ..........
.#...#.... | ...M.M....  -  ..#....... | ..........
.....#.... | M.........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ....M.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...###*### | M.....M...  -  .####..... | ......C...
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | ..........
.....#.... | M.........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ....M.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...###*### | M.....M...  -  .####..... | ......C...
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | ..........
.....#.... | M.........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ....M.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...*##*### | M.....M...  -  .####..... | ...C..C...
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | ..........
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ....M.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...*##*### | M.....M...  -  .####..... | ...C..C...
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | ..........
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ....M.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M...  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | ..........
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ....M.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M...  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | ..........
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M...  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | .......MM.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | ..........
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M...  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .........M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | .......MM.  -  ..#....... | ........M.
.#........ | ...M......  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | ..........
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M...  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | .......MM.  -  ..#....... | ........M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | ..........
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M...  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | .......MM.  -  ..#....... | ........M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | .......M..
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M...  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ......MMM.  -  ..#....... | ........M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | .......M..
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.....
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M...  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ......MMM.  -  ..#....... | ........M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | .......M..
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.M...
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M...  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ......MMM.  -  ..#....... | ........M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...#.... | ...M.M....  -  ..#....... | .......M..
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.M...
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ......MMM.  -  ..#....... | ........M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...*.... | ...M.M....  -  ..#....... | .....C.M..
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.M...
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ..........  -  .#....#.#. | ....M.....

.#........ | ......MMM.  -  ..#....... | ........M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...*.... | ...M.M....  -  ..#....... | .....C.M..
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.M...
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | ......MMM.  -  ..#....... | .C......M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...*.... | ...M.M....  -  ..#....... | .....C.M..
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.M...
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...*.... | ...M.M....  -  ..#....... | .....C.M..
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.M...
.....####. | ......MM..  -  .#........ | M.M.M....M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...M...  -  ..*....... | ..........
.#...*.... | ...M.M....  -  ..#....... | .....C.M..
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.M...
.....*###. | ......MM..  -  .#........ | M.M.MC...M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...M.M....  -  ..#....... | .....C.M..
.....#.... | M..M......  -  .....##### | .......M..
.....#.... | ..M.......  -  ...#####.. | ...MM.M...
.....*###. | ......MM..  -  .#........ | M.M.MC...M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...M.M....  -  ..#....... | .....C.M..
.....#.... | M..M......  -  .....##### | .......M.M
.....#.... | ..M.......  -  ...#####.. | ...MM.M...
.....*###. | ......MM..  -  .#........ | M.M.MC...M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | .....C.M..
.....#.... | M..M......  -  .....##### | .......M.M
.....#.... | ..M.......  -  ...#####.. | ...MM.M...
.....*###. | ......MM..  -  .#........ | M.M.MC...M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | .....CMM..
.....#.... | M..M......  -  .....##### | .......M.M
.....#.... | ..M.......  -  ...#####.. | ...MM.M...
.....*###. | ......MM..  -  .#........ | M.M.MC...M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | .....CMM..
.....#.... | M..M......  -  .....##### | .......M.M
.....#.... | ..M.......  -  ...#####.. | ...MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | .....CMM..
.....#.... | M..M......  -  .....##### | .......M.M
.....#.... | ..M.......  -  ...#####.. | M..MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M......  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | .....CMM..
.....#.... | M..M......  -  .....##### | .......M.M
.....#.... | ..M.......  -  ...#####.. | M..MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M.M....  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...M..  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....#.... | M..M......  -  .....##### | .......M.M
.....#.... | ..M.......  -  ...#####.. | M..MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M.M....  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....#.... | M..M......  -  .....##### | .......M.M
.....#.... | ..M.......  -  ...#####.. | M..MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M.M....  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....#.... | M..M......  -  .....##### | .......M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M.....M.M.  -  .####..... | ...CC.C...
........#. | ...M.M....  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....#.... | M..M......  -  .....##### | .......M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M....MM.M.  -  .####..... | ...CC.C...
........#. | ...M.M....  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....#.... | M..M......  -  .....##### | ..M....M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M....MM.M.  -  .####..... | ...CC.C...
........#. | ...M.M....  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....#.... | M..M......  -  .....##### | ..M....M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..C.MM.M.  -  .##*#..... | ...CC.C...
........#. | ...M.M....  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ....M.....

.*........ | M.....MMM.  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....#.... | M..M......  -  .....##### | ..M....M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..C.MM.M.  -  .##*#..... | ...CC.C...
........#. | ...M.M....  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ..M.M.....

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....#.... | M..M......  -  .....##### | ..M....M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..C.MM.M.  -  .##*#..... | ...CC.C...
........#. | ...M.M....  -  .#....#... | .......M.M
.#......## | ......C...  -  .#....*.#. | ..M.M.....

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
